FID,OBJECTID,SHAPE,TEXT13ID,LAENGE,SE_ANNO_CAD_DATA
OEFFGRUENLINGOGD.91,91,"LINESTRING (16.370840069199296 48.19839800250867, 16.37088672636032 48.19835769528079)",Rosa-Mayrede*,5.66730574,
OEFFGRUENLINGOGD.92,92,"LINESTRING (16.34726566663598 48.19866842832029, 16.34719777776731 48.19865627163002)",Andreaspark,5.22469404,
OEFFGRUENLINGOGD.93,93,"LINESTRING (16.347402684126816 48.19912234892062, 16.34739003673447 48.19916580257091)",Andreaspark,4.92246053,
OEFFGRUENLINGOGD.94,94,"LINESTRING (16.347104349455 48.19908300759614, 16.347041560095445 48.19907259500324)",Andreaspark,4.80912451,
OEFFGRUENLINGOGD.95,95,"LINESTRING (16.34787603652912 48.19525653705438, 16.34783994020162 48.19528902688803)",Loquaipark,4.50034489,
OEFFGRUENLINGOGD.96,96,"LINESTRING (16.35273535130469 48.19341582446843, 16.352849617818453 48.193409066526385)",Richard-Wald*,8.52850634,
OEFFGRUENLINGOGD.97,97,"LINESTRING (16.352021256526967 48.19386276560836, 16.351935891384063 48.193912392916374)",Richard-Wald*,8.4101477,
OEFFGRUENLINGOGD.98,98,"LINESTRING (16.352253482110754 48.193617462478024, 16.352180946552007 48.19356788687069)",Richard-Wald*,7.7116949,
OEFFGRUENLINGOGD.99,99,"LINESTRING (16.344687056693495 48.1879819490405, 16.344697007504138 48.18790901067084)",Bruno-Kreisk*,8.1440623,
OEFFGRUENLINGOGD.100,100,"LINESTRING (16.404121380467366 48.19584517885648, 16.40415218788282 48.19587888420045)",Bock-Park,4.39227948,
OEFFGRUENLINGOGD.101,101,"LINESTRING (16.377087024951138 48.19804731953497, 16.377078279884824 48.19805897783438)",SchwarzenPla,1.45022641,
OEFFGRUENLINGOGD.102,102,"LINESTRING (16.377421657546066 48.19808373535089, 16.377441138211196 48.19807022775767)",SchwarzenPla,2.08643295,
OEFFGRUENLINGOGD.103,103,"LINESTRING (16.382180717901612 48.199298767953, 16.382181018434487 48.19929638643538)",Modenapark,0.26575419,
OEFFGRUENLINGOGD.104,104,"LINESTRING (16.382748952891546 48.20026453490614, 16.38274381696852 48.20028395778529)",Modenapark,2.19321815,
OEFFGRUENLINGOGD.105,105,"LINESTRING (16.40089379502146 48.19757636864672, 16.400808049232847 48.19761161274163)",Kardinal-Nag*,7.48273494,
OEFFGRUENLINGOGD.106,106,"LINESTRING (16.393167933314935 48.20169293763311, 16.393128970433036 48.20172207062977)",Rochuspark,4.34540826,
OEFFGRUENLINGOGD.107,107,"LINESTRING (16.34140526615183 48.18804351385648, 16.34141703006118 48.18796606739145)",Stadtwildnis*,8.65596931,
OEFFGRUENLINGOGD.108,108,"LINESTRING (16.33926160427027 48.18808652996327, 16.33919706326328 48.18806299382189)",Stadtwildnis*,5.46614496,
OEFFGRUENLINGOGD.109,109,"LINESTRING (16.36758272769989 48.181442553738904, 16.367590566433694 48.18153067344428)",Waldmüllerpa*,9.8157856,
OEFFGRUENLINGOGD.110,110,"LINESTRING (16.384800917834564 48.184003045810705, 16.384879392327022 48.18393913279866)",Schweizergar*,9.1955675,
OEFFGRUENLINGOGD.111,111,"LINESTRING (16.383007299749227 48.186007462431114, 16.38291425364161 48.1859622294677)",Schweizergar*,8.5536935,
OEFFGRUENLINGOGD.112,112,"LINESTRING (16.39025612403444 48.18571893106256, 16.39020426924619 48.1856600949238)",Schweizergar*,7.59399542,
OEFFGRUENLINGOGD.113,113,"LINESTRING (16.37806103796892 48.179046716713174, 16.378071310430332 48.17899960375871)",Humboldpark,5.29412591,
OEFFGRUENLINGOGD.114,114,"LINESTRING (16.368854525530857 48.1938238804307, 16.3688260341217 48.19387186817618)",Brahmsplatz,5.74106369,
OEFFGRUENLINGOGD.115,115,"LINESTRING (16.36899224436795 48.193600528208556, 16.369010712241767 48.19356949007997)",Brahmsplatz,3.71437488,
OEFFGRUENLINGOGD.116,116,"LINESTRING (16.330244236656597 48.17355801048688, 16.33002195960513 48.173540211327456)",Schedifkapla*,16.64999756,
OEFFGRUENLINGOGD.117,117,"LINESTRING (16.330340494963828 48.17335826034702, 16.33030145996 48.173292775981395)",Schedifkapla*,7.83896576,
OEFFGRUENLINGOGD.118,118,"LINESTRING (16.331483134518553 48.17332727041123, 16.33146185136766 48.1731540608143)",Schedifkapla*,19.32493521,
OEFFGRUENLINGOGD.119,119,"LINESTRING (16.33264368935123 48.17656880058264, 16.33263986902738 48.17661367217406)",Park Sechter*,4.99757036,
OEFFGRUENLINGOGD.120,120,"LINESTRING (16.33240849610896 48.17644880663375, 16.332351944722003 48.176447992738616)",Park Sechter*,4.20676928,
OEFFGRUENLINGOGD.121,121,"LINESTRING (16.381572022730527 48.16429615157354, 16.381465244316786 48.1642760903048)",Maria-Rekker*,8.25040607,
OEFFGRUENLINGOGD.122,122,"LINESTRING (16.381702728537608 48.16398023354368, 16.38159772009567 48.163960505343454)",Maria-Rekker*,8.11367654,
OEFFGRUENLINGOGD.123,123,"LINESTRING (16.381973913052303 48.187069707426865, 16.382006462496104 48.18710042421994)",Schweizergar*,4.18611756,
OEFFGRUENLINGOGD.124,124,"LINESTRING (16.382803932998744 48.186338386694096, 16.382886906566892 48.18627282478317)",Schweizergar*,9.55045212,
OEFFGRUENLINGOGD.125,125,"LINESTRING (16.38413757841411 48.18824133494103, 16.384140326584653 48.18841439369919)",Schweizergar*,19.24436081,
OEFFGRUENLINGOGD.126,126,"LINESTRING (16.3376268819997 48.18726387867998, 16.337575471817807 48.18729393737814)",Trendsportan*,5.07779525,
OEFFGRUENLINGOGD.127,127,"LINESTRING (16.338776148807288 48.18492808087738, 16.338823240134335 48.18494353458955)",Park Haeberg*,3.9005698,
OEFFGRUENLINGOGD.128,128,"LINESTRING (16.338927870228268 48.18472287362801, 16.338974045571394 48.18473802602923)",Park Haeberg*,3.8246761,
OEFFGRUENLINGOGD.129,129,"LINESTRING (16.338596845539143 48.18460095863007, 16.33856706919645 48.18458670144357)",Park Haeberg*,2.72318416,
OEFFGRUENLINGOGD.130,130,"LINESTRING (16.37872103898781 48.173358656569334, 16.37857416507484 48.17333672973459)",Park-Reumann,11.19263686,
OEFFGRUENLINGOGD.131,131,"LINESTRING (16.340604951317832 48.181715460940005, 16.340731198550625 48.18175966383592)",Steinbauerpa*,10.59701717,
OEFFGRUENLINGOGD.132,132,"LINESTRING (16.368430668474332 48.1777560331993, 16.368331143686483 48.17776263703423)",Erlachplatz,7.43792828,
OEFFGRUENLINGOGD.133,133,"LINESTRING (16.369264696140647 48.1777035293376, 16.36936707383436 48.17769664237967)",Erlachplatz,7.65218433,
OEFFGRUENLINGOGD.134,134,"LINESTRING (16.369345910151715 48.17822558951334, 16.369445611787604 48.17821888222626)",Erlachplatz,7.45209231,
OEFFGRUENLINGOGD.135,135,"LINESTRING (16.37793924856099 48.17422038233306, 16.37795969647885 48.174354075438984)",Park Reumann,14.9435606,
OEFFGRUENLINGOGD.136,136,"LINESTRING (16.36016778908061 48.17665788716022, 16.36014961120208 48.17653721176224)",Alois-Greb-P*,13.48640695,
OEFFGRUENLINGOGD.137,137,"LINESTRING (16.331507193272106 48.17555005970322, 16.331592559228152 48.17555296516195)",Vivenotpark,6.35709576,
OEFFGRUENLINGOGD.138,138,"LINESTRING (16.331466255238773 48.17595177927887, 16.33138771347963 48.17660436785303)",Vivenotpark,72.79917308,
OEFFGRUENLINGOGD.139,139,"LINESTRING (16.353125637230153 48.15359657075636, 16.353126994021956 48.153558127054126)",Johann-Benda*,4.27591437,
OEFFGRUENLINGOGD.140,140,"LINESTRING (16.359488895436517 48.172030264174005, 16.359421691422366 48.172028075412626)",Fortunapark,5.00439592,
OEFFGRUENLINGOGD.141,141,"LINESTRING (16.378542502847807 48.171198245813, 16.37860720507585 48.17117183752517)",Antonspark,5.6376184,
OEFFGRUENLINGOGD.142,142,"LINESTRING (16.328461193804962 48.172731555328355, 16.328500554863577 48.17269112794357)",Theodor-Körn*,5.36454413,
OEFFGRUENLINGOGD.143,143,"LINESTRING (16.381253876102825 48.168698752715784, 16.38120755726894 48.16865422830497)",Alfred-BöhmP,6.0316943,
OEFFGRUENLINGOGD.144,144,"LINESTRING (16.385762429162675 48.165760784221696, 16.385706454526822 48.16573617322088)",Alfred-BöhmP,4.98257047,
OEFFGRUENLINGOGD.145,145,"LINESTRING (16.367537624462546 48.16646739414571, 16.367418863762886 48.166485201756686)",Park Migerka*,9.05328726,
OEFFGRUENLINGOGD.146,146,"LINESTRING (16.36753181443393 48.16634254794369, 16.367378756254706 48.16636549824379)",Park Migerka*,11.66785508,
OEFFGRUENLINGOGD.147,147,"LINESTRING (16.301684903697204 48.24325231175786, 16.301671646686305 48.243289653533914)",Pötzleinsdor*,4.26741293,
OEFFGRUENLINGOGD.148,148,"LINESTRING (16.306593600852473 48.16321522601405, 16.306569422128177 48.16317684832364)",Schlosspark,4.63096199,
OEFFGRUENLINGOGD.149,149,"LINESTRING (16.266580843448452 48.14971524444641, 16.266500917284997 48.149713207697694)",Ölzeltpark,5.95160831,
OEFFGRUENLINGOGD.150,150,"LINESTRING (16.379058520543 48.15253799822455, 16.37898741858398 48.15255414703004)",Rädda-Barnen*,5.58683159,
OEFFGRUENLINGOGD.151,151,"LINESTRING (16.407801181050562 48.14147030763622, 16.407878662677454 48.14145413788632)",Kurpark Ober*,6.04013566,
OEFFGRUENLINGOGD.152,152,"LINESTRING (16.287016177696284 48.235538796356025, 16.286872679255875 48.23547396381719)",WienerwaldNW,12.86874841,
OEFFGRUENLINGOGD.153,153,"LINESTRING (16.40866200086124 48.13464429152138, 16.408654490205226 48.134612549940904)",unt. Liesing,3.57347205,
OEFFGRUENLINGOGD.154,154,"LINESTRING (16.406636665447333 48.13512495229357, 16.406616524692183 48.13508381045505)",unt. Liesing,4.81408529,
OEFFGRUENLINGOGD.155,155,"LINESTRING (16.34494284562607 48.136903381044824, 16.34410528092787 48.13514194225704)",Kolpingstraße,205.54302842,
OEFFGRUENLINGOGD.156,156,"LINESTRING (16.31445073243253 48.22519366901596, 16.314490668391752 48.225249123780806)",Dr.-Josef-Re*,6.84312438,
OEFFGRUENLINGOGD.157,157,"LINESTRING (16.314232947608787 48.22490434701442, 16.31418762677953 48.22484708710679)",Dr.-Josef-Re*,7.20268963,
OEFFGRUENLINGOGD.158,158,"LINESTRING (16.306184267965268 48.15227214648921, 16.306098764680225 48.15226920322568)",unt. Liesing,6.3703855,
OEFFGRUENLINGOGD.159,159,"LINESTRING (16.352013245864896 48.14708804538064, 16.35197457995421 48.14703710115278)",Hans-Dunkl-P*,6.35354825,
OEFFGRUENLINGOGD.160,160,"LINESTRING (16.33066900152949 48.154720784671646, 16.330593360533708 48.15475747720566)",unt. Liesing,6.95122622,
OEFFGRUENLINGOGD.161,161,"LINESTRING (16.32890972006474 48.15286014464668, 16.32875631795201 48.1529013358502)",unt. Liesing,12.29862968,
OEFFGRUENLINGOGD.162,162,"LINESTRING (16.269939586060286 48.152453377683045, 16.26998072778736 48.15252155500359)",Rathaus-Park,8.17565986,
OEFFGRUENLINGOGD.163,163,"LINESTRING (16.26955409692281 48.15184560083361, 16.269461376441935 48.15186568127804)",Rathaus-Park,7.25135945,
OEFFGRUENLINGOGD.164,164,"LINESTRING (16.26924453583618 48.15120725729813, 16.26915255845256 48.15122717694797)",Rathaus-Park,7.19332972,
OEFFGRUENLINGOGD.165,165,"LINESTRING (16.269448170992998 48.15092554445598, 16.269023600501093 48.15096054136331)",Rathaus-Park,31.83026608,
OEFFGRUENLINGOGD.166,166,"LINESTRING (16.31426646219138 48.223500217462636, 16.314177845143668 48.22353261016363)",Park Julius *,7.50532122,
OEFFGRUENLINGOGD.167,167,"LINESTRING (16.314680393352575 48.22355234841409, 16.31471182580154 48.223590313451844)",Park Julius *,4.82453767,
OEFFGRUENLINGOGD.168,168,"LINESTRING (16.321055530988584 48.22439533060582, 16.320923232047022 48.22442987215859)",Clemens-Krau*,10.55377896,
OEFFGRUENLINGOGD.169,169,"LINESTRING (16.32224034541696 48.22415491760754, 16.322287737886253 48.22423701278191)",Clemens-Krau*,9.78426865,
OEFFGRUENLINGOGD.170,170,"LINESTRING (16.32205235039952 48.22385596968435, 16.3220075670951 48.223778104205856)",Clemens-Krau*,9.27570354,
OEFFGRUENLINGOGD.171,171,"LINESTRING (16.320937480772805 48.22421015874281, 16.320813661788904 48.224242485372265)",Clemens-Krau*,9.87730801,
OEFFGRUENLINGOGD.172,172,"LINESTRING (16.253745949894427 48.14580803332725, 16.253825144921787 48.1457639618027)",WienerwaldS,7.66462053,
OEFFGRUENLINGOGD.173,173,"LINESTRING (16.274615818798083 48.137524338055805, 16.274566852956 48.13753339329398)",ob. Liesing,3.78094129,
OEFFGRUENLINGOGD.174,174,"LINESTRING (16.27943558056626 48.138719729840204, 16.279395082675933 48.13866217263242)",Park RudolfZ,7.07424896,
OEFFGRUENLINGOGD.175,175,"LINESTRING (16.28035989407094 48.14028446095884, 16.280394845053646 48.140283534493925)",Park RudolfZ,2.6032144,
OEFFGRUENLINGOGD.176,176,"LINESTRING (16.280843150922532 48.13829869688333, 16.281014314875492 48.13826334812179)",Park RudolfZ,13.33171308,
