FID,OBJECTID,SHAPE,BEZEICHNUNG,BETREIBER,ADRESSE,WEBLINK1,TYP_TXT,TXTATT1,KONTAKT,PLZ,KINDERGRUPPE,FAMILIE_0_6,FAMILIE_3_10,HEILPAED_HORT_6_10,HEILPAED_KDG_3_6,HORT_6_10,INTEGRAT_FAMILIE_0_6,INTEGRAT_FAMILIE_3_10,INTEGRAT_HORT_6_10,INTEGRAT_KDG_3_6,INTEGRAT_KLEINKINDER_0_3,KDG_3_6,HALBTAGS_KDG_3_6,KLEINKINDER_0_3,STRASSE,ONR,STG,MA11_OBJEKT_ID,FAMILIE_2_6,INTEGRAT_FAMILIE_2_6,SE_ANNO_CAD_DATA
KINDERGARTENOGD.7281280,7281280,POINT (16.538837334949037 48.21186879311206),Smiley Kids II,Verein Kindergruppe Smiley Kids,"22., Ibachstraße 24",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1220,14,,,,,,,,,,,,,,Ibachstraße,24,,2000650,,,
KINDERGARTENOGD.7283121,7283121,POINT (16.35574479419055 48.19147402904269),MONTESSORI KINDERGRUPPE PILGRAM,Verein Wiener Kindergruppen,"5., Schönbrunner Straße 46",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1050,14,,,,,,,,,,,,,,Schönbrunner Straße,46,,2000651,,,
KINDERGARTENOGD.7283122,7283122,POINT (16.35574479419055 48.19147402904269),MONTESSORI KINDERGRUPPE MARGARETEN,Verein Wiener Kindergruppen,"5., Schönbrunner Straße 46",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1050,14,,,,,,,,,,,,,,Schönbrunner Straße,46,,2000652,,,
KINDERGARTENOGD.7283123,7283123,POINT (16.455157764520887 48.22607282439248),Mete 4,Kindergruppen Mete,"22., Wurmbrandgasse 12",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1220,14,,,,,,,,,,,,,,Wurmbrandgasse,12,,2000654,,,
KINDERGARTENOGD.7283124,7283124,POINT (16.455157764520887 48.22607282439248),Mete 5,Kindergruppen Mete,"22., Wurmbrandgasse 12b",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1220,14,,,,,,,,,,,,,,Wurmbrandgasse,12b,,2000655,,,
KINDERGARTENOGD.7283125,7283125,POINT (16.343044960735124 48.19976624122364),FIDI,Wiener Hilfswerk (kurz: WHW),"7., Schottenfeldgasse 29",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1070,14,,,,,,,,,,,,,,Schottenfeldgasse,29,,2000656,,,
KINDERGARTENOGD.7283126,7283126,POINT (16.25478854030587 48.20308832574282),Nabe 5,Montessori - Verein Hütteldorf,"14., Linzer Straße 430",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1140,14,,,,,,,,,,,,,,Linzer Straße,430,,2000657,,,
KINDERGARTENOGD.7283127,7283127,POINT (16.33622877705776 48.2463714044494),Early Birds 2,Billinguale Kindergruppen Early Birds,"19., Sieveringer Straße 55",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1190,10,,,,,,,,,,,,,,Sieveringer Straße,55,,2000663,,,
KINDERGARTENOGD.7283128,7283128,POINT (16.397102100514722 48.224466626311724),Horizont 4,Kindergruppe Horizont,"2., Ernst-Melchior-Gasse 11/2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1020,14,,,,,,,,,,,,,,Ernst-Melchior-Gasse,11,2,2000664,,,
KINDERGARTENOGD.7283129,7283129,POINT (16.397102100514722 48.224466626311724),Horizont 5,Kindergruppe Horizont,"2., Ernst-Melchior-Gasse 11/2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1020,14,,,,,,,,,,,,,,Ernst-Melchior-Gasse,11,2,2000665,,,
KINDERGARTENOGD.7283130,7283130,POINT (16.21742271927657 48.209970070044164),Am Wienfluss,Verein Wiener Kindergruppen,"14., Hauptstraße 77a",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1140,13,,,,,,,,,,,,,,Hauptstraße,77a,,2000666,,,
KINDERGARTENOGD.7283131,7283131,POINT (16.25996982694107 48.13874921948393),Froschkönig,Verein Wiener Kindergruppen,"23., Rodauner Straße 94/BT 2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1230,14,,,,,,,,,,,,,,Rodauner Straße,94,BT 2,2000667,,,
KINDERGARTENOGD.7283132,7283132,POINT (16.386382108905618 48.14198855518014),Regenbogen Oberlaa,Kindergruppe Regenbogen,"10., Oberlaaer Straße 186",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1100,14,,,,,,,,,,,,,,Oberlaaer Straße,186,,2000670,,,
KINDERGARTENOGD.7283133,7283133,POINT (16.34670899780408 48.23058509048163),STERNENLAND,First Steps Kindergruppe,"18., Anastasius-Grün-Gasse 22",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1180,14,,,,,,,,,,,,,,Anastasius-Grün-Gasse,22,,2000671,,,
KINDERGARTENOGD.7283134,7283134,POINT (16.33457780432751 48.17968389581963),Kuschelbär,"Verein für die Betreuung von Kindern, Kindergruppe Kuschelbär","12., Mandlgasse 31",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1120,14,,,,,,,,,,,,,,Mandlgasse,31,,2000673,,,
KINDERGARTENOGD.7283135,7283135,POINT (16.37021262524835 48.173376286508585),Schlümpfengruppe,Bilinguale Kindergruppe AMEISE - Verein zur Integration von nichtschulpflichtigen Kindern und Eltern mit migrantischem Hintergrund,"10., Arthaberplatz 11",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1100,14,,,,,,,,,,,,,,Arthaberplatz,11,,2000674,,,
KINDERGARTENOGD.7283136,7283136,POINT (16.37021262524835 48.173376286508585),Hasengruppe,Bilinguale Kindergruppe AMEISE - Verein zur Integration von nichtschulpflichtigen Kindern und Eltern mit migrantischem Hintergrund,"10., Arthaberplatz 11",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1100,14,,,,,,,,,,,,,,Arthaberplatz,11,,2000675,,,
KINDERGARTENOGD.7283137,7283137,POINT (16.339304543294304 48.17994520230695),Privatkindergruppe Märchenland Wien,Privatkindergruppe Märchenland Wien,"12., Längenfeldgasse 26/7",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,1120,14,,,,,,,,,,,,,,Längenfeldgasse,26,7,2000676,,,
